2G,3G,4G,Operateur,result_city
1,1,0,Orange,Plumelin
0,0,1,SFR,Plumelin
1,1,1,Bouygues,Plumelin
1,1,0,Orange,Plélo
1,1,0,SFR,Plélo
0,1,1,Free,Plélo
1,1,1,Orange,Plouézec
1,1,1,SFR,Plouézec
1,1,1,Bouygues,Plouézec
1,1,1,Orange,Saint-Gildas-de-Rhuys
1,1,1,SFR,Saint-Gildas-de-Rhuys
1,1,1,Bouygues,Saint-Gildas-de-Rhuys
1,1,0,Orange,Île-aux-Moines
1,1,1,Orange,Ploeren
0,1,1,Free,Ploeren
0,1,1,Orange,Saint-Gildas-de-Rhuys
0,1,1,SFR,Saint-Gildas-de-Rhuys
1,1,1,Orange,Noyal-Pontivy
1,1,0,SFR,Noyal-Pontivy
1,1,0,Bouygues,Noyal-Pontivy
1,1,0,Orange,Arradon
1,1,0,Orange,Grand-Champ
0,0,1,SFR,Grand-Champ
1,1,1,Bouygues,Grand-Champ
1,1,0,Orange,Locminé
1,1,1,Orange,Plouha
1,1,1,Bouygues,Plouha
1,1,0,Orange,Plescop
1,1,1,SFR,Plescop
1,1,1,Bouygues,Plescop
0,1,1,Free,Plescop
1,1,0,Orange,Sarzeau
1,1,0,SFR,Sarzeau
1,1,1,Orange,Moréac
1,1,1,Orange,Locminé
0,1,1,Free,Locminé
1,1,1,Orange,Sarzeau
1,1,0,Bouygues,Sarzeau
0,1,0,Free,Sarzeau
1,1,1,Orange,Évellys
1,1,1,SFR,Évellys
1,1,1,Bouygues,Évellys
0,1,0,Free,Évellys
1,1,0,Orange,Moustoir-Ac
1,1,0,Orange,Ploeren
0,1,1,SFR,Ploeren
1,1,0,Orange,Moréac
1,1,0,Orange,Plerneuf
1,1,0,SFR,Plerneuf
1,1,1,Orange,Vannes
